Location,Production,Startup,Lat,Lng,
Schinznach-Dorf,0.65,1953, 47.4474737, 8.1427966,
Villnachern,51.25,1953, 47.46941200000001, 8.1631666,
Döttingen,6.2,2001, 47.570768, 8.2588195,
Döttingen,19.5,1902, 47.570768, 8.2588195,
Klingnaus Gippingen,42.6,1935, 47.5810229, 8.2489572,
Hospental,2,1902, 46.6179587, 8.567440099999999,
Realp,0.9,1914, 46.5992257, 8.5026469,
Realp,2.81,2017, 46.5992257, 8.5026469,
Andermatt,2.9,1961, 46.6339116, 8.5935627,
Göschenen,164.8,1962, 46.6681092, 8.5894896,
Göschenen,33.26,1961, 46.6681092, 8.5894896,
Göschenen,1.62,1969, 46.6681092, 8.5894896,
Pfaffensprung,58,1949, 46.7136569, 8.6089007,
Wassens Pfaffensprung,0.72,1998, 46.7136569, 8.6089007,
Gurtnellen,6.6,1900, 46.73796, 8.62781,
Gurtnellen,0.31,2007, 46.73796, 8.62781,
Bristen,4.3,2016, 46.73699999999999, 8.681239999999999,
Amsteg,120,1923, 46.79173549999999, 8.6694779,
Amsteg,1.73,1998, 46.79173549999999, 8.6694779,
Amsteg,13,1910, 46.79173549999999, 8.6694779,
Erstfelds Ripshusen,7,1963, 46.8421005, 8.633662,
Erstfelds Ripshusen,1.7,1931, 46.8421005, 8.633662,
Unterschächen,0.52,1996, 46.86332789999999, 8.7705289,
Unterschächen,2.2,1962, 46.86332789999999, 8.7705289,
Bürglen,20.8,1967, 46.8761523, 8.664463099999999,
Bürglen,1.5,1895, 46.8761523, 8.664463099999999,
Altdorf,0.3,2002, 46.8821272, 8.642843599999999,
Isenthal,1.18,1959, 46.91059250000001, 8.5619813,
Seedorf,0.38,2012, 46.88092, 8.61352,
Seedorf,12,1955, 46.88092, 8.61352,
Bisisthals Sahli,4.7,1962, 46.913754, 8.846670999999999,
Bisisthals Sahli,9.3,1970, 46.913754, 8.846670999999999,
Bisisthal,15.8,1956, 46.942972, 8.830808,
Muotathal,8.8,1960, 46.9740171, 8.7622473,
Muotathal,4.7,1960, 46.9740171, 8.7622473,
Ibach,20.4,1966, 47.011067, 8.644371999999999,
Ibach,0.32,1859, 47.011067, 8.644371999999999,
Brunnen,0.6,1885, 46.9993073, 8.609382199999999,
Steinens Müliacher,2.2,2016, 47.0495934, 8.613133999999999,
Beckenried,1.63,1957, 46.9704961, 8.4657007,
Engelbergs Stalden,1.27,1941, 46.8200266, 8.4069918,
Engelberg,8.5,1967, 46.8200266, 8.4069918,
Engelberg,3.07,1966, 46.8200266, 8.4069918,
Grafenort,31.95,1905, 46.8200266, 8.4069918,
Grafenort,1.97,1963, 46.8200266, 8.4069918,
Wolfenschiessen,17.75,1962, 46.9081639, 8.3959084,
Wolfenschiessens Flüglisloo,2,2013, 46.9081639, 8.3959084,
Oberrickenbach,8.7,1937, 46.9081639, 8.3959084,
Wolfenschiessen,6.6,1945, 46.9081639, 8.3959084,
Buochs,0.33,1888, 46.9735985, 8.420352,
Lungern,1.2,2003, 46.7858188, 8.159704,
Kaiserstuhl,10.3,1933, 47.5675585, 8.418268900000001,
Giswil,12,2013, 46.838212, 8.1872814,
Giswil,54,1921, 46.838212, 8.1872814,
Sachselns Obflue,0.3,2005, 46.8671605, 8.2393778,
Kernss Stöckalp,14,1960, 46.802839, 8.2788854,
Kernss Wisserlen,1.15,1905, 46.9139202, 8.296059999999999,
Alpnachs Eichibrücke,2.4,1957, 46.9380412, 8.2701754,
Stansstads Rotzloch,0.3,1872, 46.965069, 8.3298308,
Luzern,0.93,1998, 47.05016819999999, 8.3093072,
Wolhusen,0.33,1906, 47.0586361, 8.0731633,
Malters,0.87,2011, 47.0369701, 8.183899199999999,
Kriens/Obernau,0.71,1999, 47.03084, 8.2515,
Littau,0.79,1886, 47.0507712, 8.264809399999999,
Emmenbrücke,1.08,1931, 47.07723379999999, 8.275637,
Emmen,2.1,1896, 47.07723379999999, 8.275637,
Perlens Buchrain,1,1873, 47.09638289999999, 8.3477709,
Perlens Root,1.15,1875, 47.11068, 8.36224,
Unterägeri,0.45,1908, 47.1368093, 8.5830915,
Neuägeris Gmde Menzingen,0.34,2015, 47.15085999999999, 8.563749999999999,
Lorzentobels Nidfuren,1.9,1898, 47.16828450000001, 8.5615343,
Lorzentobel,1.67,1891, 47.16828450000001, 8.5615343,
Baar,2.17,1854, 47.1953729, 8.526087,
Friesenchams Cham,0.6,1897, 47.1962376, 8.4489004,
Hagendorn,0.58,1893, 47.2031877, 8.4322035,
Bremgarten,20,1975, 47.34917739999999, 8.3397905,
Bremgarten,0.54,1998, 47.34917739999999, 8.3397905,
Windisch,2.09,1830, 47.4789604, 8.2159655,
Linthals Ochsenstafel,500,2016, 46.818188, 8.227511999999999,
Linthals Ochsenstafel,4.4,1965, 46.818188, 8.227511999999999,
