Werthenstein, 6106, undefined, undefined,
Huttwil, 4950, undefined, undefined,
Wünnewil, 3184, undefined, undefined,
Wettingen, 5430, 25.67420, 89.05380,
Tenna, 7106, undefined, undefined,
Dietfurt, 9615, undefined, undefined,
Uettligen, 3043, undefined, undefined,
Matzingen, 9548, undefined, undefined,
Wettingen, 5430, undefined, undefined,
Rivera, 6802, undefined, undefined,
Trun, 7166, undefined, undefined,
Untervaz, 7204, undefined, undefined,
Grasswil, 3365, undefined, undefined,
Ittigen, 3063, 24.90860, 91.53030,
Osterfingen, 8218, undefined, undefined,
Luzein, 7242, undefined, undefined,
Müllheim, 8555, undefined, undefined,
Berg, 8572, undefined, undefined,
Bichwil, 9248, 47.42180, 9.13800,
Ueberstorf, 3182, 24.78090, 91.87720,
Wolfwil, 4628, undefined, undefined,
Neuenkirch, 6206, undefined, undefined,
Klosters, 7250, 46.88270, 9.87610,
Unterhörstetten, 8508, undefined, undefined,
Trüllikon, 8466, 47.63791, 8.69106,
Wolhusen, 6110, undefined, undefined,
Oberriet, 9463, undefined, undefined,
Rivera, 6802, undefined, undefined,
Grabs, 9472, undefined, undefined,
Weinfelden, 8570, undefined, undefined,
Rifferswil, 8911, undefined, undefined,
Muttenz, 4132, undefined, undefined,
Vattiz, 7146, undefined, undefined,
Uetikon am See, 8707, 47.26649, 8.67035,
Embrach, 8424, undefined, undefined,
Schwellbrunn, 9103, undefined, undefined,
Wangen an der Aare, 3380, 47.23588, 7.69103,
Kriessern, 9451, undefined, undefined,
Nottwil, 6207, undefined, undefined,
Rafz, 8197, 47.61015, 8.53953,
Schmidrüti, 8495, undefined, undefined,
Schüpfheim, 6170, undefined, undefined,
Trübbach, 9477, undefined, undefined,
Aesch LU, 6287, undefined, undefined,
Oberriet, 9463, undefined, undefined,
Einsiedeln, 8840, 35.04001, 32.39614,
Gutenburg, 4932, undefined, undefined,
Längenbühl, 3636, undefined, undefined,
Meikirch, 3045, undefined, undefined,
Bischofszell, 9220, undefined, undefined,
Giubiasco, 6512, undefined, undefined,
Lourtier, 1948, undefined, undefined,
Scharnachtal, 3722, undefined, undefined,
Neu St. Johann, 9652, undefined, undefined,
Kesswil, 8593, undefined, undefined,
Büren zum Hof, 3313, undefined, undefined,
Unterägeri, 6314, undefined, undefined,
Züberwangen, 9523, undefined, undefined,
Schlierbach, 6231, undefined, undefined,
Buchs, 9470, undefined, undefined,
Röthenbach i.E., 3538, undefined, undefined,
Dietikon, 8953, undefined, undefined,
Rengg, 6162, undefined, undefined,
San Carlo, 7741, undefined, undefined,
Lausanne, 1005, undefined, undefined,
St. Stephan, 3772, 46.50659, 7.39338,
Poliez-Pittet, 1041, undefined, undefined,
Wilchingen, 8217, undefined, undefined,
Guntmadingen, 8223, undefined, undefined,
Trübbach, 9477, undefined, undefined,
Stans, 6370, undefined, undefined,
Salez, 9465, undefined, undefined,
Gadmen, 3863, undefined, undefined,
Affoltern im Emmental, 3416, undefined, undefined,
Grandvaux, 1091, 46.49750, 6.72348,
Dürrenroth, 3465, undefined, undefined,
Rüschegg Heubach, 3154, undefined, undefined,
Steinach, 9323, undefined, undefined,
Muttenz, 4132, undefined, undefined,
Küblis, 7240, undefined, undefined,
Biezwil, 4585, undefined, undefined,
Lenzerheide, 7078, undefined, undefined,
Mönchaltorf, 8617, 47.30862, 8.71784,
St-Imier, 2610, undefined, undefined,
Nennigkofen, 4574, 47.18680, 7.51018,
Ernetschwil, 8725, 47.24560, 9.00300,
Mühledorf, 3116, undefined, undefined,
Gasel, 3144, undefined, undefined,
Cully, 1096, undefined, undefined,
Thayngen, 8240, undefined, undefined,
Dürrenroth, 3465, undefined, undefined,
Vordemwald, 4803, undefined, undefined,
Basel, 4056, undefined, undefined,
Urtenen-Schönbühl, 3322, undefined, undefined,
Waltenschwil, 5622, undefined, undefined,
Langnau, 3550, undefined, undefined,
Lenzburg, 5600, undefined, undefined,
Neu St. Johann, 9652, undefined, undefined,
Tenna, 7106, 46.74770, 9.33950,
Steffisburg, 3613, undefined, undefined,
Hildisrieden, 6024, undefined, undefined,
Uetikon am See, 8707, undefined, undefined,
Kriessern, 9451, undefined, undefined,
Alten, 8453, undefined, undefined,
Cressier, 1785, undefined, undefined,
Langenbruck, 4438, undefined, undefined,
Gsteig, 3785, undefined, undefined,
Schüpfheim, 6170, undefined, undefined,
Brugg, 5200, undefined, undefined,
Trimbach, 4632, undefined, undefined,
Ittigen, 3063, undefined, undefined,
Rubigen, 3113, undefined, undefined,
Frauenfeld, 8500, undefined, undefined,
Flühli, 6173, undefined, undefined,
Wolfenschiessen, 6386, undefined, undefined,
Gruenenmatt, 3452, undefined, undefined,
Hinterkappelen, 3032, 34.68283, 33.04868,
Unterwasser, 9657, undefined, undefined,
Altikon, 8479, undefined, undefined,
Altstätten, 9450, 22.33140, 89.11910,
Etziken, 4554, undefined, undefined,
Goldiwil, 3624, undefined, undefined,
Montfaucon, 2875, undefined, undefined,
Basel, 4055, undefined, undefined,
Oberwil im Simmental, 3765, undefined, undefined,
Scherz, 5246, undefined, undefined,
Weinfelden, 8570, undefined, undefined,
Schocherswil, 8581, undefined, undefined,
Avers-Puent, 7447, undefined, undefined,
St-Prex, 1162, undefined, undefined,
Samnaun-Compatsch, 7562, undefined, undefined,
Hessigkofen, 4577, undefined, undefined,
Uettligen, 3043, undefined, undefined,
Thun, 3608, undefined, undefined,
Rosshäusern, 3204, 46.93535, 7.28473,
Plan-les-Ouates, 1228, undefined, undefined,
Entlebuch, 6162, undefined, undefined,
Paradiso, 6900, undefined, undefined,
Ebnet, 6163, undefined, undefined,
Wald, 8636, undefined, undefined,
Ebersecken, 6245, undefined, undefined,
Zürich, 8055, undefined, undefined,
Knutwil, 6213, undefined, undefined,
Oberbütschel, 3088, undefined, undefined,
Hergiswil, 6133, undefined, undefined,
Champvent, 1443, undefined, undefined,
Azmoos, 9478, undefined, undefined,
Rougemont, 1659, undefined, undefined,
Develier, 2802, undefined, undefined,
Basel, 4052, undefined, undefined,
Bannwil, 4913, 47.23992, 7.73486,
Fieschertal, 3984, undefined, undefined,
Itingen, 4452, undefined, undefined,
Oberbalm, 3096, undefined, undefined,
Selzach, 2545, undefined, undefined,
Interlaken, 3800, undefined, undefined,
Ebnet, 6163, undefined, undefined,
Hinwil, 8340, undefined, undefined,
Grabs, 9472, undefined, undefined,
Abtwil SG, 9030, undefined, undefined,
Hellsau, 3429, 47.14561, 7.64759,
Grosswangen, 6022, undefined, undefined,
Eschenz, 8264, undefined, undefined,
Carouge, 1227, undefined, undefined,
Ruswil, 6017, undefined, undefined,
Gurzelen, 3663, undefined, undefined,
Sempach, 6204, undefined, undefined,
Lütisburg / Unterrindal, 9604, undefined, undefined,
Pratteln, 4133, undefined, undefined,
Vuisternens-en-Ogoz, 1696, undefined, undefined,
Opfikon, 8152, undefined, undefined,
Steinmaur, 8162, 47.49181, 8.44903,
Rheinfelden, 4310, undefined, undefined,
Weissenburg, 3764, undefined, undefined,
Rickenbach, 6221, undefined, undefined,
Saignelégier, 2350, undefined, undefined,
Berneck, 9442, undefined, undefined,
Eggersriet, 9034, undefined, undefined,
Ortschwaben, 3042, undefined, undefined,
Aigle, 1860, undefined, undefined,
Cresta (Avers), 7447, undefined, undefined,
Sent, 7554, undefined, undefined,
Lanzenhäusern, 3148, undefined, undefined,
Selzach, 2545, undefined, undefined,
Quartino, 6572, undefined, undefined,
Präz / Plaun, 7424, undefined, undefined,
Grossaffoltern, 3257, undefined, undefined,
Lenk im Simmental, 3775, undefined, undefined,
Haslen, 9054, undefined, undefined,
Buchs, 9470, undefined, undefined,
Donat, 7433, undefined, undefined,
Uettligen, 3043, undefined, undefined,
Seewil, 3256, undefined, undefined,
Zug, 6300, undefined, undefined,
Eriswil, 4952, undefined, undefined,
Stein, 4332, undefined, undefined,
Rickenbach, 6221, undefined, undefined,
Lajoux, 2718, undefined, undefined,
Ufhusen, 6153, undefined, undefined,
Ohmstal, 6143, undefined, undefined,
Schwendibach, 3624, undefined, undefined,
Luzern, 6002, undefined, undefined,
Kaisten, 5082, undefined, undefined,
Densbüren, 5026, undefined, undefined,
Recherswil, 4565, undefined, undefined,
Boudry, 2017, undefined, undefined,
Corcelles, 2747, undefined, undefined,
Schüpfheim, 6170, undefined, undefined,
Russikon, 8332, undefined, undefined,
Les Ponts de Martel, 2316, undefined, undefined,
Tschugg, 3233, undefined, undefined,
Meinisberg, 2554, undefined, undefined,
Arlesheim, 4144, undefined, undefined,
Belp, 3123, undefined, undefined,
Schlatt, 8252, undefined, undefined,
