"Anlage_Energieträger","Anlagentyp","Leistung [kW]","Anlage_Inbetriebnahme","PLZ","Ort","Anlage_Kanto"
"Photovoltaik","Angebaute Anlage","167.7","18.12.13","1073","Savigny","VD"
"Photovoltaik","Angebaute Anlage","168","23.12.13","4913","Bannwil","BE"
"Photovoltaik","Angebaute Anlage","168.1","06.06.12","6370","Stans","NW"
"Photovoltaik","Angebaute Anlage","168.2","14.12.16","9108","Gonten","AI"
"Photovoltaik","Angebaute Anlage","168.5","19.12.13","7415","Rodels","GR"
"Photovoltaik","Angebaute Anlage","168.8","09.12.09","4133","Pratteln","BL"
"Photovoltaik","Angebaute Anlage","168.8","20.12.13","8240","Thayngen","SH"
"Photovoltaik","Angebaute Anlage","168.9","26.09.12","6133","Hergiswil","LU"
"Photovoltaik","Integrierte Anlage","169","27.12.13","1270","Trélex","VD"
"Photovoltaik","Angebaute Anlage","169","10.03.15","3124","Belpberg","BE"
"Photovoltaik","Angebaute Anlage","169.1","08.10.13","3308","Grafenried","BE"
"Photovoltaik","Integrierte Anlage","169.1","06.07.12","8263","Buch","SH"
"Photovoltaik","Angebaute Anlage","169.2","21.06.12","5225","Bözberg","AG"
"Photovoltaik","Angebaute Anlage","169.3","29.01.15","6056","Kägiswil","OW"
"Photovoltaik","Angebaute Anlage","169.4","02.01.15","8907","Wettswil","ZH"
"Photovoltaik","Angebaute Anlage","169.5","19.12.11","1757","Noréaz","FR"
"Photovoltaik","Integrierte Anlage","169.5","06.09.11","6204","Sempach","LU"
"Photovoltaik","Angebaute Anlage","169.6","16.09.10","3254","Messen","SO"
"Photovoltaik","Angebaute Anlage","169.7","04.08.14","8908","Hedingen","ZH"
"Photovoltaik","Angebaute Anlage","169.8","20.12.13","9545","Wängi","TG"
"Photovoltaik","Integrierte Anlage","169.8","06.10.15","4704","Niederbipp","BE"
"Photovoltaik","Angebaute Anlage","170","24.09.15","6073","Flüeli-Ranft","OW"
"Photovoltaik","Angebaute Anlage","170.2","06.09.12","2885","Epauvillers","JU"
"Photovoltaik","Angebaute Anlage","170.6","17.12.10","9642","Ebnat-Kappel","SG"
"Photovoltaik","Angebaute Anlage","171.4","25.10.11","9200","Gossau","SG"
"Photovoltaik","Angebaute Anlage","171.6","07.03.14","6122","Menznau","LU"
"Photovoltaik","Angebaute Anlage","171.6","12.04.11","6032","Emmen","LU"
