"Location","Production","Startup",
"Wald","2009.12",
"Hergiswil b. Willisau","2007.12",
"Häggenschwil","2012.09",
"Aeschlen","2002.09",
"Mönchaltorf","2007.12",
"Tentlingen","2012.11",
"Arlesheim","2001.09",
"Allschwil","2002.12",
"Gossau","2008.11",
"Frauenfeld","2010.08",
"Reichenbach","25.1","2011",
"Rüttenen","25.1","2012",
"Steinach","25.1","2012",
"Euthal","25.2","2013",
"Le Cerneux-Veusil","25.2","2008",
"Ganterschwil","25.2","2009",
"Tenna","25.2","2012",
"Döttingen","25.2","2006",
"Delémont","25.2","2010",
"Eichberg","25.2","2014",
"Oschwand","25.2","2013",
"Murten","25.2","2010",
"Hellsau","25.2","2012",
"Altstätten","25.3","2009",
"Grandvaux","25.3","2010",
"Bottenwil","25.3","2010",
"Plan-les-Ouates","25.3","2011",
"Plan-les-Ouates","25.3","2011",
"Luzern","25.4","2016",
"Bern","25.4","2012",
"Samnaun-Compatsch","25.4","2013",
"Genf","25.5","2015",
"Thunstetten","25.5","2015",
"Gais","25.5","2015",
"Hessigkofen","25.5","2008",
"Oberthal","25.5","2012",
"Neuenegg","25.5","2012",
"Zizers","25.5","2012",
"Thierrens","25.5","2012",
"Madiswil","25.5","2012",
"Oberwil bei Zug","25.5","2013",
"Niederurnen","25.6","2010",
"Engelburg","25.6","2012",
"Herznach","25.6","2011",
"Appenzell","25.6","2011",
"Rheinklingen","25.6","2017",
"Oberbütschel","25.7","2011",
"Rüeggisberg","25.7","2011",
"Biezwil","25.7","2009",
"Les Brenets","25.7","2011",
"Bergdietikon","25.7","2012",
"Donat","25.7","2015",
"Thörishaus","25.7","2012",
"Säriswil","25.7","2014",
"Ernetschwil","25.8","2009",
"Basel","25.8","2011",
"Avers-Puent","25.8","2016",
"Engishofen","25.8","2008",
"Lützelflüh","25.8","2013",
"Zimmerwald","25.8","2012",
"Knutwil","25.8","2011",
"Schänis","25.8","2015",
"Willadingen","25.9","2012",
"Altikon","25.9","2011",
"Schlatt","25.9","2011",
"Unterägeri","25.9","2008",
"Nebikon","25.9","2014",
"Sternenberg","25.9","2009",
"Kreuzlingen","25.9","2008",
"Bözberg","25.9","2013",
"Mühlrüti","25.9","2012",
"Steffisburg","2006.10",
"Guntalingen","2011.12",
"Hellbühl","2008.12",
"Schleitheim","2009.13",
"Alpnachstad","2012.13",
"Schuders","2010.10",
"Altbüron","2011.13",
"Furna","2008.11",
"Les Vieux-Prés","26.1","2010",
"Bern","26.1","2016",
"Braunau","26.1","2015",
"Abtwil","26.2","2015",
"Bottenwil","26.2","2011",
"Aesch","26.3","2011",
"Oberdiessbach","26.3","2012",
"Aeschi","26.3","2011",
"Opfershofen","26.3","2009",
"Ardez","26.3","2010",
"La Chaux-de-Fonds","26.3","2009",
"Crissier","26.4","2014",
"Münchenstein","26.4","2007",
"Kueblis","26.4","2008",
"Dänikon","26.4","2010",
"Winterthur","26.4","2009",
"Innerberg","26.4","2011",
"Lourtier","26.4","2011",
"Müntschemier","26.4","2011",
"Freidorf","26.4","2015",
"Deitingen","26.4","2011",
"Schüpfheim bei Windlach","26.5","2015",
