"Ort","Postleitzahl","Installierte Leistung in KW","Inbetriebnahme","ZE-Kanton"
"Bremgarten",,"0.540","1998","Aargau"
"Windisch",,"2.090","1830","Aargau"
""Linthal"," Ochsenstafel"",,"500.000","2016","Glarus"
""Linthal"," Ochsenstafel"",,"4.400","1965","Glarus"
""Linthal"," Tierfehd"",,"261.000","1964","Glarus"
""Linthal"," Tierfehd"",,"140.000","2010","Glarus"
""Linthal"," Tierfehd"",,"42.000","1964","Glarus"
"Linthal",,"34.400","1964","Glarus"
"Linthal",,"15.000","1950","Glarus"
"Linthal",,"0.500","1900","Glarus"
"Linthal",,"1.600","1877","Glarus"
""Linthal"," Stachelberg"",,"3.900","1921","Glarus"
"Braunwald",,"0.930","2014","Glarus"
"Rüti",,"0.360","1901","Glarus"
""Rüti"," Gmde Glarus Süd"",,"2.530","2017","Glarus"
"Diesbach",,"0.930","1945","Glarus"
"Hätzingen",,"1.050","1850","Glarus"
"Luchsingen",,"3.500","1940","Glarus"
"Leuggelbach",,"1.000","1930","Glarus"
"Haslen",,"0.920","1848","Glarus"
"Schwanden",,"0.900","1828","Glarus"
"Elm",,"0.330","1995","Glarus"
"Matt",,"0.640","1902","Glarus"
"Engi (Glarus Süd)",,"0.530","2012","Glarus"
""Engi"," Vorderdorf (Glarus Süd)"",,"3.750","2009","Glarus"
"Schwanden",,"15.700","1931","Glarus"
"Schwanden",,"28.200","1931","Glarus"
"Schwanden",,"1.800","1899","Glarus"
"Schwanden",,"0.500","1908","Glarus"
"Mitlödi",,"4.000","2018","Glarus"
"Mitlödi (Glarus Süd)",,"0.850","2016","Glarus"
"Ennenda",,"0.820","1920","Glarus"
""Mitlödi"," Gmde. Glarus Süd"",,"0.550","2016","Glarus"
""Ennenda"," Alpenbrüggli"",,"0.320","2011","Glarus"
"Netstal",,"0.800","1912","Glarus"
"Netstal",,"89.100","1908","Glarus"
"Netstal",,"1.420","1923","Glarus"
"Mels",,"0.990","1906","St.Gallen"
""Mels"," Steigs"",,"3.300","1931","St.Gallen"
"Mels",,"0.550","1878","St.Gallen"
"Mels",,"1.760","2018","St.Gallen"
""Plons"," Gmde. Mels"",,"4.500","1948","St.Gallen"
"Flums",,"5.070","1901","St.Gallen"
"Flums",,"0.700","1943","St.Gallen"
""Flums"," Rüfi"",,"0.340","1890","St.Gallen"
"Flums",,"1.480","1866","St.Gallen"
"Walenstadt",,"3.140","2019","St.Gallen"
"Flums",,"1.190","1974","St.Gallen"
"Töbeli",,"0.600","1895","St.Gallen"
""Mols"," Tal"",,"0.750","1954","St.Gallen"
"Oberterzen",,"1.160","1927","St.Gallen"
""Murgtal"," Merlen"",,"0.410","1950","St.Gallen"
""Murgtal"," Unter Plätz"",,"0.520","1935","St.Gallen"
""Murgtal"," Unter Plätz"",,"6.500","1994","St.Gallen"
""Murgtal"," Unter Plätz"",,"2.300","1959","St.Gallen"
""Murg"," unterhalb Gödis"",,"2.800","1909","St.Gallen"
"Murg",,"2.320","1836","St.Gallen"
""Amden"," Muslen"",,"1.630","1908","St.Gallen"
"Rütiberg / Näfels",,"0.890","1961","Glarus"
"Rütiberg / Näfels",,"0.850","1977","Glarus"
"Näfels",,"4.500","1925","Glarus"
"Niederurnen",,"2.220","1903","Glarus"
"Ziegelbrücke",,"0.580","1837","Glarus"
"Uznach",,"0.510","2015","St.Gallen"
""Vorderthal"," Rempen"",,"66.240","1926","Schwyz"
"Siebnen",,"51.520","1926","Schwyz"
