Location,Production,Startup
Le Mont,24,07.10.11
St. Peter,24.1,29.08.17
Präz,24.1,25.11.11
Utzigen,24.1,18.12.11
Ruswil,24.1,20.04.12
Bargen,24.2,19.08.10
Blumenstein,24.2,22.07.11
Hinwil,24.2,01.02.08
Gsteig,24.3,29.09.15
Bonaduz,24.3,08.02.10
Nassen,24.3,05.08.11
Saignelégier,24.3,21.06.13
Montfaucon,24.3,29.05.09
Faoug,24.3,21.12.12
Menzingen,24.3,26.03.15
Langnau,24.3,18.02.11
Ammerzwil,24.3,30.09.16
Belp,24.3,15.03.13
Otelfingen,24.4,31.07.15
Bichwil,24.4,11.07.12
Ueberstorf,24.4,12.12.11
Marbach,24.4,26.09.12
Steffisburg,24.5,06.06.16
Gonten,24.5,01.05.09
Degen,24.5,09.08.07
Cressier,24.5,02.12.13
Cressier,24.5,30.12.13
Flühli,24.6,10.06.15
Aigle,24.6,27.11.09
Jonschwil,24.6,10.08.09
Rubigen,24.6,21.02.12
Weinfelden,24.6,16.12.11
Wila,24.6,21.07.14
Villarlod,24.7,16.12.11
Niederbüren,24.7,12.07.11
Ehrendingen,24.7,12.10.11
Lützelflüh-Goldbach,24.7,08.12.11
Klosters,24.7,21.11.14
Azmoos,24.7,15.05.12
Interlaken,24.7,21.12.11
Aesch,24.8,12.12.14
Au,24.8,20.03.15
Dürrenroth,24.8,31.07.12
Donzhausen,24.8,25.08.15
Heitenried,24.8,17.12.12
Chiasso,24.8,09.11.10
Euthal,24.8,26.06.09
Wilchingen,24.8,16.12.13
Altendorf,24.8,25.11.10
Ebnat-Kappel,24.8,06.03.15
Saillon,24.8,15.12.11
Niederönz,24.8,01.09.11
Gümmenen,24.9,31.10.08
Finsterwald,24.9,20.04.11
Schlossrued,24.9,29.11.11
Kriessern,24.9,13.11.12
Brugg,25,24.06.15
Ennetbürgen,25,21.12.11
Münchenstein,25,21.12.10
Wald,25,28.09.12
Hergiswil b. Willisau,25,26.07.12
Häggenschwil,25,23.12.09
Aeschlen,25,11.02.09
Mönchaltorf,25,04.07.12
Tentlingen,25,21.12.11
Arlesheim,25,26.01.09
Allschwil,25,01.02.12
Gossau,25,26.08.11
Frauenfeld,25,20.10.08
Reichenbach,25.1,01.12.11
Rüttenen,25.1,28.02.12
Steinach,25.1,27.02.12
Euthal,25.2,17.06.13
Le Cerneux-Veusil,25.2,25.06.08
Ganterschwil,25.2,24.04.09
Tenna,25.2,19.12.12
Döttingen,25.2,26.09.06
Delémont,25.2,10.06.10
Eichberg,25.2,22.05.14
Oschwand,25.2,29.05.13
Murten,25.2,30.09.10
Hellsau,25.2,10.04.12
Altstätten,25.3,15.06.09
Grandvaux,25.3,12.05.10
Bottenwil,25.3,08.05.10
Plan-les-Ouates,25.3,23.03.11
Plan-les-Ouates,25.3,24.03.11
Luzern,25.4,22.03.16
Bern,25.4,25.09.12
Samnaun-Compatsch,25.4,31.05.13
Genf,25.5,29.06.15
Thunstetten,25.5,25.09.15
Gais,25.5,22.09.15
Hessigkofen,25.5,01.12.08
Oberthal,25.5,20.09.12
Neuenegg,25.5,28.09.12
Zizers,25.5,28.02.12
Thierrens,25.5,26.09.12
Madiswil,25.5,27.04.12
Oberwil bei Zug,25.5,29.11.13
Niederurnen,25.6,30.09.10
Engelburg,25.6,03.04.12
Herznach,25.6,14.02.11
Appenzell,25.6,10.10.11
Rheinklingen,25.6,21.09.17
Oberbütschel,25.7,22.11.11
Rüeggisberg,25.7,24.12.11
Biezwil,25.7,12.12.09
Les Brenets,25.7,28.10.11
Bergdietikon,25.7,13.12.12
Donat,25.7,25.03.15
Thörishaus,25.7,23.02.12
Säriswil,25.7,19.12.14
Ernetschwil,25.8,21.08.09
Basel,25.8,26.07.11
Avers-Puent,25.8,26.07.16
Engishofen,25.8,25.06.08
Lützelflüh,25.8,06.12.13
Zimmerwald,25.8,13.09.12
Knutwil,25.8,13.12.11
Schänis,25.8,01.01.15
Willadingen,25.9,31.12.12
Altikon,25.9,26.10.11
Schlatt,25.9,06.04.11
Unterägeri,25.9,01.07.08
Nebikon,25.9,18.06.14
Sternenberg,25.9,20.07.09
Kreuzlingen,25.9,14.03.08
Bözberg,25.9,13.12.13
Mühlrüti,25.9,22.08.12
Steffisburg,26,21.06.10
Guntalingen,26,15.11.12
Hellbühl,26,03.08.12
Schleitheim,26,26.09.13
Alpnachstad,26,18.12.13
Schuders,26,01.10.10
Altbüron,26,04.11.13
Furna,26,25.08.11
Les Vieux-Prés,26.1,28.05.10
Bern,26.1,23.09.16
Braunau,26.1,17.03.15
Abtwil,26.2,26.03.15
Bottenwil,26.2,07.10.11
Aesch,26.3,23.12.11
Oberdiessbach,26.3,25.09.12
Aeschi,26.3,18.10.11
Opfershofen,26.3,02.04.09
Ardez,26.3,15.12.10
La Chaux-de-Fonds,26.3,27.05.09
Crissier,26.4,24.03.14
Münchenstein,26.4,26.07.07
Kueblis,26.4,31.10.08
Dänikon,26.4,09.06.10
Winterthur,26.4,16.07.09
