"Location","Production","Startup",
"Plancanin","0.500","1991",
"Casaccia","9.000","1960",
"Casaccia","0.000","1967",
"Casaccia","0.000","1960",
"Murtaira","0.000","1963",
"Bondo","6.900","1962",
"Promontogno, Gmde. Bregaglia","0.510","2017",
"Castasegna","100.000","1959",
"Silvaplana","1.470","1891",
"Scuol","0.960","2014",
"Celerina","4.400","1932",
"Roseg, Samedan","0.310","1933",
"Pontresina, Morteratsch","1.600","1890",
"Samedan","0.360","1992",
"Madulain","1.560","1903",
"Susch","5.860","2010",
"Lavin","3.070","2014",
"Guarda-Giarsun Gmd. Scuol","0.350","1998",
"Ardez","6.600","2014",
"Tarasp","0.920","2010",
"Scuol","1.900","1903",
"Strada","0.300","1994",
"Samnaun-Compatch","0.460","2017",
"Samnaun-Compatsch","0.960","1970",
"Zernez","2.800","1969",
"Zernez","54.000","1970",
"Zernez","0.470","1969",
"Scuol","300.000","1970",
"Martina","84.000","1994",
"Nauders, A","2.140","2018",
"Prutz","86.900","2018",
"Sta.Maria","2.000","1958",
"Müstair/Chasseras","1.070","1991",
